Lea State,LEA,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Chattahoochee County,1301050,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Chattahoochee County,1301050,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Chattahoochee County,1301050,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Chattahoochee County,1301050,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Chattahoochee County,1301050,2015,Total enrollment,,4.00,9.00,4.00,105.00,267.00,462.00,39.00,890.00,135.00,4.00,10.00
GA,Commerce City,1301440,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,Commerce City,1301440,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Commerce City,1301440,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Commerce City,1301440,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00
GA,Commerce City,1301440,2015,Total enrollment,,0.00,17.00,0.00,169.00,184.00,1087.00,88.00,1545.00,200.00,39.00,76.00
GA,Pelham City,1304080,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pelham City,1304080,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pelham City,1304080,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pelham City,1304080,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pelham City,1304080,2015,Total enrollment,,2.00,13.00,0.00,88.00,812.00,543.00,42.00,1500.00,181.00,39.00,26.00
GA,Miller County,1303660,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Miller County,1303660,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Miller County,1303660,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Miller County,1303660,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Miller County,1303660,2015,Total enrollment,,0.00,4.00,0.00,19.00,371.00,640.00,19.00,1053.00,86.00,0.00,10.00
GA,Burke County,1300660,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Burke County,1300660,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Burke County,1300660,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Burke County,1300660,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Burke County,1300660,2015,Total enrollment,,10.00,15.00,6.00,129.00,3053.00,1207.00,143.00,4563.00,523.00,124.00,48.00
GA,State Charter Schools- Mountain Education Center School,1300214,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,State Charter Schools- Mountain Education Center School,1300214,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,State Charter Schools- Mountain Education Center School,1300214,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Mountain Education Center School,1300214,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Mountain Education Center School,1300214,2015,Total enrollment,,4.00,7.00,0.00,127.00,52.00,1405.00,4.00,1599.00,245.00,0.00,37.00
GA,Douglas County,1301860,2015,Allegations - basis of race color or national origin,29.00,,,,,,,,,,,
GA,Douglas County,1301860,2015,Allegations - basis of religion,1.00,,,,,,,,,,,
GA,Douglas County,1301860,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,4.00,29.00,2.00,4.00,39.00,11.00,0.00,0.00
GA,Douglas County,1301860,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,4.00,17.00,10.00,7.00,38.00,4.00,0.00,0.00
GA,Douglas County,1301860,2015,Total enrollment,,57.00,318.00,80.00,3712.00,13498.00,7246.00,1060.00,25971.00,3179.00,230.00,1837.00
GA,Sumter County,1304620,2015,Allegations - basis of race color or national origin,4.00,,,,,,,,,,,
GA,Sumter County,1304620,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Sumter County,1304620,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00,0.00,0.00,0.00
GA,Sumter County,1304620,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00
GA,Sumter County,1304620,2015,Total enrollment,,6.00,34.00,0.00,483.00,3594.00,720.00,100.00,4937.00,541.00,27.00,296.00
GA,Bremen City Schools,1300510,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bremen City Schools,1300510,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bremen City Schools,1300510,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,1300510,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,1300510,2015,Total enrollment,,0.00,40.00,12.00,28.00,118.00,1992.00,46.00,2236.00,194.00,16.00,12.00
GA,Warren County,1305460,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Warren County,1305460,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Warren County,1305460,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Warren County,1305460,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Warren County,1305460,2015,Total enrollment,,0.00,0.00,4.00,6.00,564.00,42.00,22.00,638.00,74.00,2.00,0.00
GA,State Charter Schools- Foothills Charter High School (Madison),1300235,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,State Charter Schools- Foothills Charter High School (Madison),1300235,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,State Charter Schools- Foothills Charter High School (Madison),1300235,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Foothills Charter High School (Madison),1300235,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Foothills Charter High School (Madison),1300235,2015,Total enrollment,,4.00,7.00,0.00,70.00,274.00,490.00,22.00,867.00,149.00,7.00,22.00
GA,Harris County,1302700,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Harris County,1302700,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Harris County,1302700,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Harris County,1302700,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Harris County,1302700,2015,Total enrollment,,13.00,23.00,4.00,268.00,906.00,3963.00,236.00,5413.00,494.00,0.00,28.00
GA,Johnson County,1303120,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Johnson County,1303120,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Johnson County,1303120,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Johnson County,1303120,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Johnson County,1303120,2015,Total enrollment,,6.00,12.00,0.00,45.00,486.00,603.00,17.00,1169.00,141.00,10.00,8.00
GA,Gilmer County,1302340,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gilmer County,1302340,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gilmer County,1302340,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gilmer County,1302340,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gilmer County,1302340,2015,Total enrollment,,8.00,14.00,2.00,1067.00,18.00,3097.00,40.00,4246.00,369.00,95.00,647.00
GA,Commission Charter Schools- Atlanta Heights Charter School,1300221,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Atlanta Heights Charter School,1300221,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Atlanta Heights Charter School,1300221,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Atlanta Heights Charter School,1300221,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Atlanta Heights Charter School,1300221,2015,Total enrollment,,0.00,0.00,2.00,19.00,784.00,2.00,2.00,809.00,47.00,13.00,19.00
GA,Greene County,1302490,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Greene County,1302490,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Greene County,1302490,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Greene County,1302490,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Greene County,1302490,2015,Total enrollment,,10.00,22.00,0.00,288.00,1347.00,795.00,87.00,2549.00,264.00,41.00,135.00
GA,Union County,1305250,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Union County,1305250,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Union County,1305250,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Union County,1305250,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Union County,1305250,2015,Total enrollment,,10.00,17.00,0.00,76.00,4.00,2582.00,75.00,2764.00,382.00,122.00,32.00
GA,Taylor County,1304800,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Taylor County,1304800,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Taylor County,1304800,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Taylor County,1304800,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Taylor County,1304800,2015,Total enrollment,,13.00,15.00,0.00,26.00,584.00,818.00,14.00,1470.00,132.00,30.00,2.00
GA,Stewart County,1304590,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Stewart County,1304590,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Stewart County,1304590,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Stewart County,1304590,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Stewart County,1304590,2015,Total enrollment,,0.00,2.00,0.00,2.00,474.00,26.00,4.00,508.00,72.00,0.00,0.00
GA,Dalton City,1301620,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Dalton City,1301620,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Dalton City,1301620,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Dalton City,1301620,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Dalton City,1301620,2015,Total enrollment,,28.00,136.00,2.00,5523.00,372.00,1692.00,213.00,7966.00,711.00,92.00,1656.00
GA,Wilcox County School System,1305730,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Wilcox County School System,1305730,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Wilcox County School System,1305730,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Wilcox County School System,1305730,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Wilcox County School System,1305730,2015,Total enrollment,,4.00,6.00,0.00,69.00,429.00,687.00,23.00,1218.00,132.00,13.00,11.00
GA,Floyd County,1302190,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,1302190,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,1302190,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,1302190,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,1302190,2015,Total enrollment,,17.00,63.00,6.00,972.00,705.00,7923.00,363.00,10049.00,1452.00,209.00,386.00
GA,Baldwin County,1300210,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Baldwin County,1300210,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Baldwin County,1300210,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Baldwin County,1300210,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Baldwin County,1300210,2015,Total enrollment,,8.00,75.00,4.00,131.00,3795.00,1581.00,210.00,5804.00,655.00,154.00,45.00
GA,Valdosta City,1305310,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Valdosta City,1305310,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Valdosta City,1305310,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Valdosta City,1305310,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Valdosta City,1305310,2015,Total enrollment,,43.00,122.00,19.00,325.00,6058.00,1318.00,174.00,8059.00,988.00,69.00,212.00
GA,State Charter Schools- Cherokee Charter Academy,1300230,2015,Allegations - basis of race color or national origin,12.00,,,,,,,,,,,
GA,State Charter Schools- Cherokee Charter Academy,1300230,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,State Charter Schools- Cherokee Charter Academy,1300230,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,7.00,5.00,0.00,12.00,0.00,0.00,0.00
GA,State Charter Schools- Cherokee Charter Academy,1300230,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,2.00,0.00,2.00,7.00,0.00,2.00,13.00,0.00,0.00,0.00
GA,State Charter Schools- Cherokee Charter Academy,1300230,2015,Total enrollment,,4.00,25.00,0.00,112.00,154.00,619.00,19.00,933.00,92.00,22.00,16.00
GA,Gwinnett County,1302550,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,1302550,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,1302550,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,1302550,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,1302550,2015,Total enrollment,,438.00,17767.00,279.00,50745.00,55290.00,44949.00,6490.00,175958.00,20869.00,769.00,29134.00
GA,Bibb County,1300420,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bibb County,1300420,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bibb County,1300420,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bibb County,1300420,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bibb County,1300420,2015,Total enrollment,,34.00,430.00,30.00,1052.00,18444.00,4660.00,585.00,25235.00,2741.00,213.00,559.00
GA,Dougherty County,1301830,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Dougherty County,1301830,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Dougherty County,1301830,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Dougherty County,1301830,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Dougherty County,1301830,2015,Total enrollment,,77.00,68.00,22.00,346.00,13767.00,1040.00,192.00,15512.00,1382.00,206.00,299.00
GA,Pickens County,1304110,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,1304110,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,1304110,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,1304110,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,1304110,2015,Total enrollment,,8.00,24.00,2.00,214.00,35.00,4006.00,88.00,4377.00,617.00,99.00,36.00
GA,Walker County,1305370,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,Walker County,1305370,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Walker County,1305370,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,2.00,0.00,4.00,0.00,0.00,0.00
GA,Walker County,1305370,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Walker County,1305370,2015,Total enrollment,,21.00,45.00,11.00,255.00,506.00,7788.00,423.00,9049.00,1449.00,232.00,84.00
GA,Hall County,1302610,2015,Allegations - basis of race color or national origin,10.00,,,,,,,,,,,
GA,Hall County,1302610,2015,Allegations - basis of religion,2.00,,,,,,,,,,,
GA,Hall County,1302610,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,12.00,2.00,6.00,0.00,20.00,4.00,0.00,2.00
GA,Hall County,1302610,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,6.00,4.00,6.00,0.00,16.00,0.00,0.00,0.00
GA,Hall County,1302610,2015,Total enrollment,,50.00,358.00,35.00,11250.00,1264.00,13698.00,585.00,27240.00,3138.00,163.00,5763.00
GA,Jefferson City,1303030,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Jefferson City,1303030,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Jefferson City,1303030,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Jefferson City,1303030,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Jefferson City,1303030,2015,Total enrollment,,2.00,52.00,4.00,262.00,301.00,2662.00,109.00,3392.00,359.00,0.00,100.00
GA,Wilkinson County,1305790,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Wilkinson County,1305790,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Wilkinson County,1305790,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Wilkinson County,1305790,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Wilkinson County,1305790,2015,Total enrollment,,0.00,6.00,4.00,40.00,850.00,553.00,70.00,1523.00,152.00,169.00,23.00
GA,State Charter Schools- Georgia Cyber Academy,1300232,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,State Charter Schools- Georgia Cyber Academy,1300232,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,State Charter Schools- Georgia Cyber Academy,1300232,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Georgia Cyber Academy,1300232,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
