Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Total enrollment,,2.00,40.00,0.00,148.00,253.00,397.00,61.00,901.00,170.00,7.00,70.00
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Allegations - basis of race color or national origin,3.00,,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Total enrollment,,2.00,40.00,4.00,250.00,130.00,547.00,55.00,1028.00,101.00,34.00,148.00
GA,Bartow County,GA,Allatoona Elementary School,130033001078,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Bartow County,GA,Allatoona Elementary School,130033001078,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
