Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Total enrollment,,0.00,2.00,0.00,55.00,43.00,835.00,16.00,951.00,116.00,10.00,10.00
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Total enrollment,,4.00,2.00,0.00,31.00,49.00,574.00,37.00,697.00,80.00,4.00,16.00
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Total enrollment,,2.00,4.00,0.00,40.00,40.00,619.00,25.00,730.00,92.00,13.00,13.00

