Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Barrow County,GA,Bramlett Elementary School,130029000134,2015,Total enrollment,,4.00,52.00,2.00,100.00,43.00,499.00,28.00,728.00,86.00,13.00,88.00
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Mulberry Elementary School,130255003381,2015,Total enrollment,,2.00,25.00,0.00,82.00,187.00,343.00,37.00,676.00,89.00,8.00,64.00
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Barrow County,GA,Auburn Elementary School,130029000178,2015,Total enrollment,,2.00,58.00,0.00,127.00,43.00,484.00,58.00,772.00,95.00,19.00,109.00

