Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Sanders Elementary School,130129002150,2015,Total enrollment,,4.00,4.00,0.00,145.00,514.00,70.00,19.00,756.00,116.00,10.00,58.00
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Clarkdale Elementary School,130129000526,2015,Total enrollment,,0.00,7.00,0.00,190.00,418.00,64.00,22.00,701.00,95.00,4.00,124.00
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Austell Elementary School,130129003529,2015,Total enrollment,,0.00,4.00,2.00,127.00,334.00,73.00,31.00,571.00,59.00,4.00,73.00
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Garrett Middle School,130129000534,2015,Total enrollment,,2.00,2.00,0.00,253.00,541.00,94.00,19.00,911.00,137.00,10.00,67.00
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Cooper Middle School,130129002475,2015,Total enrollment,,0.00,10.00,4.00,163.00,655.00,76.00,40.00,948.00,134.00,16.00,22.00
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,South Cobb High School,130129000574,2015,Total enrollment,,4.00,37.00,0.00,457.00,1324.00,163.00,43.00,2028.00,248.00,22.00,76.00

