Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Allegations - basis of religion,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Avondale Elementary School,130174000694,2015,Total enrollment,,0.00,34.00,0.00,16.00,379.00,19.00,16.00,464.00,41.00,19.00,46.00
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,DeKalb School of the Arts,130174003884,2015,Total enrollment,,0.00,7.00,0.00,7.00,247.00,121.00,10.00,392.00,17.00,7.00,2.00

