Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Bremen City Schools,GA,Jones Elementary School,130051000260,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Jones Elementary School,130051000260,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Jones Elementary School,130051000260,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Jones Elementary School,130051000260,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Jones Elementary School,130051000260,2015,Total enrollment,,0.00,7.00,4.00,7.00,43.00,652.00,19.00,732.00,74.00,0.00,4.00
GA,Bremen City Schools,GA,Bremen Crossroads Academy,130051003473,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen Crossroads Academy,130051003473,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen Crossroads Academy,130051003473,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen Crossroads Academy,130051003473,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen Crossroads Academy,130051003473,2015,Total enrollment,,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,<=2,0.00,0.00
GA,Bremen City Schools,GA,Bremen 4th & 5th Grade Academy,130051003762,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen 4th & 5th Grade Academy,130051003762,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen 4th & 5th Grade Academy,130051003762,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen 4th & 5th Grade Academy,130051003762,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen 4th & 5th Grade Academy,130051003762,2015,Total enrollment,,0.00,10.00,4.00,4.00,19.00,304.00,7.00,348.00,26.00,2.00,4.00
GA,Bremen City Schools,GA,Bremen High School,130051002455,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen High School,130051002455,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen High School,130051002455,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen High School,130051002455,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen High School,130051002455,2015,Total enrollment,,0.00,13.00,0.00,7.00,31.00,565.00,7.00,623.00,47.00,4.00,2.00
GA,Bremen City Schools,GA,Bremen Middle School,130051003757,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen Middle School,130051003757,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bremen City Schools,GA,Bremen Middle School,130051003757,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen Middle School,130051003757,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bremen City Schools,GA,Bremen Middle School,130051003757,2015,Total enrollment,,0.00,10.00,4.00,10.00,25.00,466.00,13.00,528.00,47.00,10.00,2.00

