Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Buchanan Elementary School,130267001180,2015,Total enrollment,,2.00,4.00,2.00,16.00,7.00,373.00,25.00,429.00,68.00,4.00,4.00
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Buchanan Primary School,130267001184,2015,Total enrollment,,4.00,2.00,0.00,16.00,13.00,409.00,19.00,463.00,65.00,4.00,4.00

