Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carrollton City,GA,Carrollton Elementary School,130087000088,2015,Total enrollment,,4.00,28.00,2.00,358.00,568.00,535.00,91.00,1586.00,173.00,0.00,139.00
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Mount Zion Elementary School,130084000319,2015,Total enrollment,,2.00,2.00,0.00,112.00,70.00,490.00,52.00,728.00,86.00,2.00,61.00
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carrollton City,GA,Carrollton Jr. High School,130087000336,2015,Total enrollment,,4.00,10.00,0.00,133.00,226.00,373.00,37.00,783.00,83.00,22.00,28.00
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carrollton City,GA,Carrollton Middle-Upper Elementary School,130087003474,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
