Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Bartow County,GA,Woodland High School,130033001914,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Woodland High School,130033001914,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Woodland High School,130033001914,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Woodland High School,130033001914,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Woodland High School,130033001914,2015,Total enrollment,,2.00,10.00,0.00,172.00,145.00,1288.00,28.00,1645.00,176.00,28.00,10.00
GA,Cartersville City,GA,Cartersville Elementary School,130090002098,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville Elementary School,130090002098,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville Elementary School,130090002098,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Elementary School,130090002098,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Elementary School,130090002098,2015,Total enrollment,,0.00,13.00,2.00,238.00,217.00,457.00,52.00,979.00,98.00,40.00,154.00
GA,Bartow County,GA,Mission Road Elementary School,130033001940,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Mission Road Elementary School,130033001940,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Mission Road Elementary School,130033001940,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Mission Road Elementary School,130033001940,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Mission Road Elementary School,130033001940,2015,Total enrollment,,2.00,0.00,0.00,49.00,55.00,352.00,19.00,477.00,47.00,0.00,31.00
GA,Cartersville City,GA,Cartersville Primary School,130090000343,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville Primary School,130090000343,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville Primary School,130090000343,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Primary School,130090000343,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Primary School,130090000343,2015,Total enrollment,,2.00,10.00,4.00,211.00,253.00,514.00,58.00,1052.00,113.00,19.00,160.00
GA,Cartersville City,GA,Cartersville High School,130090000341,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville High School,130090000341,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville High School,130090000341,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville High School,130090000341,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville High School,130090000341,2015,Total enrollment,,0.00,16.00,2.00,193.00,277.00,670.00,37.00,1195.00,89.00,37.00,43.00
GA,Bartow County,GA,Cloverleaf Elementary,130033000180,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Cloverleaf Elementary,130033000180,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Cloverleaf Elementary,130033000180,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Cloverleaf Elementary,130033000180,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Cloverleaf Elementary,130033000180,2015,Total enrollment,,0.00,19.00,0.00,121.00,112.00,454.00,52.00,758.00,80.00,4.00,67.00
GA,Bartow County,GA,Bartow County Transition Program,130033004082,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Bartow County Transition Program,130033004082,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Bartow County Transition Program,130033004082,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Bartow County Transition Program,130033004082,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Bartow County Transition Program,130033004082,2015,Total enrollment,,0.00,0.00,0.00,0.00,13.00,52.00,0.00,65.00,10.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Middle School,130090000342,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville Middle School,130090000342,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cartersville City,GA,Cartersville Middle School,130090000342,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Middle School,130090000342,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cartersville City,GA,Cartersville Middle School,130090000342,2015,Total enrollment,,2.00,25.00,0.00,172.00,235.00,568.00,55.00,1057.00,104.00,49.00,49.00
