Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Sweetwater Elementary School,130186002157,2015,Total enrollment,,0.00,7.00,4.00,124.00,280.00,79.00,31.00,525.00,53.00,7.00,127.00
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Annette Winn Elementary School,130186000860,2015,Total enrollment,,0.00,4.00,2.00,121.00,226.00,64.00,19.00,436.00,38.00,10.00,121.00
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Douglas County,GA,Lithia Springs Comprehensive High School,130186000853,2015,Total enrollment,,2.00,7.00,7.00,355.00,835.00,313.00,46.00,1565.00,182.00,16.00,73.00
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Lithia Springs Elementary School,130186000866,2015,Total enrollment,,0.00,4.00,2.00,220.00,169.00,127.00,16.00,538.00,74.00,2.00,193.00
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Douglas County,GA,Turner Middle School,130186000856,2015,Total enrollment,,2.00,13.00,10.00,256.00,355.00,124.00,19.00,779.00,116.00,0.00,61.00
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Factory Shoals Elementary School,130186002032,2015,Total enrollment,,2.00,7.00,0.00,82.00,445.00,121.00,31.00,688.00,98.00,4.00,31.00

