Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Northside Elementary,130420002010,2015,Total enrollment,,0.00,4.00,0.00,250.00,58.00,139.00,22.00,473.00,71.00,2.00,115.00
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Harpst Academy,130420003614,2015,Total enrollment,,0.00,0.00,0.00,4.00,13.00,22.00,2.00,41.00,20.00,2.00,0.00
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Allegations - basis of race color or national origin,32.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,4.00,2.00,0.00,0.00,6.00,2.00,0.00,0.00
GA,Polk School District,GA,Cedartown Middle School,130420002594,2015,Total enrollment,,2.00,7.00,0.00,313.00,148.00,493.00,31.00,994.00,149.00,25.00,46.00
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Cherokee Elementary School,130420001916,2015,Total enrollment,,2.00,7.00,0.00,262.00,52.00,298.00,43.00,664.00,77.00,0.00,154.00
GA,Polk School District,GA,Westside Elementary School,130420001499,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
