Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,DeKalb County,GA,Adult Work Student SE,130174099996,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Adult Work Student SE,130174099996,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Adult Work Student SE,130174099996,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Adult Work Student SE,130174099996,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Adult Work Student SE,130174099996,2015,Total enrollment,,0.00,0.00,0.00,0.00,7.00,0.00,0.00,7.00,4.00,0.00,0.00
GA,State Schools- Atlanta Area School for the Deaf,GA,Atlanta Area School for the Deaf,130022503061,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,State Schools- Atlanta Area School for the Deaf,GA,Atlanta Area School for the Deaf,130022503061,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,State Schools- Atlanta Area School for the Deaf,GA,Atlanta Area School for the Deaf,130022503061,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Schools- Atlanta Area School for the Deaf,GA,Atlanta Area School for the Deaf,130022503061,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Schools- Atlanta Area School for the Deaf,GA,Atlanta Area School for the Deaf,130022503061,2015,Total enrollment,,0.00,4.00,0.00,52.00,94.00,28.00,2.00,180.00,179.00,0.00,0.00
GA,DeKalb County,GA,Jolly Elementary School,130174000722,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Jolly Elementary School,130174000722,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Jolly Elementary School,130174000722,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Jolly Elementary School,130174000722,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Jolly Elementary School,130174000722,2015,Total enrollment,,4.00,364.00,4.00,37.00,430.00,31.00,16.00,886.00,41.00,13.00,508.00
GA,DeKalb County,GA,Clarkston High School,130174000708,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Clarkston High School,130174000708,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Clarkston High School,130174000708,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Clarkston High School,130174000708,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Clarkston High School,130174000708,2015,Total enrollment,,0.00,511.00,4.00,52.00,991.00,49.00,13.00,1620.00,137.00,10.00,679.00
GA,DeKalb County,GA,Indian Creek Elementary School,130174000740,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Indian Creek Elementary School,130174000740,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Indian Creek Elementary School,130174000740,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Indian Creek Elementary School,130174000740,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Indian Creek Elementary School,130174000740,2015,Total enrollment,,4.00,613.00,13.00,37.00,358.00,43.00,4.00,1072.00,44.00,10.00,850.00

