Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Hightower Trail Elementary School,130441002051,2015,Total enrollment,,2.00,10.00,2.00,70.00,373.00,190.00,22.00,669.00,68.00,0.00,49.00
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Conyers Middle School,130441001588,2015,Total enrollment,,0.00,10.00,2.00,148.00,547.00,124.00,31.00,862.00,128.00,0.00,19.00
GA,Rockdale County,GA,Salem High School,130441002193,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Salem High School,130441002193,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Salem High School,130441002193,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Salem High School,130441002193,2015,Total enrollment,,2.00,19.00,2.00,76.00,934.00,79.00,28.00,1140.00,119.00,0.00,19.00
