Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Newton County,GA,Eastside High School,130393001023,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Eastside High School,130393001023,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Eastside High School,130393001023,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Eastside High School,130393001023,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Eastside High School,130393001023,2015,Total enrollment,,2.00,16.00,0.00,64.00,445.00,685.00,34.00,1246.00,173.00,40.00,7.00
GA,Newton County,GA,Newton High School,130393001454,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Newton High School,130393001454,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Newton High School,130393001454,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Newton High School,130393001454,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Newton High School,130393001454,2015,Total enrollment,,4.00,10.00,4.00,148.00,1579.00,226.00,64.00,2035.00,248.00,46.00,31.00
GA,Newton County,GA,Rocky Plains Elementary School,130393003435,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Rocky Plains Elementary School,130393003435,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Rocky Plains Elementary School,130393003435,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Rocky Plains Elementary School,130393003435,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Rocky Plains Elementary School,130393003435,2015,Total enrollment,,0.00,2.00,0.00,52.00,190.00,367.00,25.00,636.00,77.00,28.00,22.00
GA,Newton County,GA,Livingston Elementary School,130393001463,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Livingston Elementary School,130393001463,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Livingston Elementary School,130393001463,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Livingston Elementary School,130393001463,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Livingston Elementary School,130393001463,2015,Total enrollment,,0.00,0.00,0.00,19.00,343.00,130.00,31.00,523.00,65.00,7.00,13.00
GA,Newton County,GA,Fairview Elementary,130393001455,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Fairview Elementary,130393001455,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Fairview Elementary,130393001455,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Fairview Elementary,130393001455,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Fairview Elementary,130393001455,2015,Total enrollment,,7.00,7.00,4.00,97.00,268.00,94.00,19.00,496.00,59.00,2.00,85.00
GA,Newton County,GA,Alcovy High School,130393003436,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Alcovy High School,130393003436,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Alcovy High School,130393003436,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Alcovy High School,130393003436,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Alcovy High School,130393003436,2015,Total enrollment,,4.00,13.00,2.00,85.00,853.00,622.00,70.00,1649.00,236.00,43.00,13.00
GA,Newton County,GA,Porterdale Elementary School,130393001459,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Porterdale Elementary School,130393001459,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,Porterdale Elementary School,130393001459,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Porterdale Elementary School,130393001459,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,Porterdale Elementary School,130393001459,2015,Total enrollment,,0.00,2.00,2.00,70.00,328.00,73.00,25.00,500.00,71.00,0.00,49.00
GA,Newton County,GA,East Newton Elementary School,130393001456,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,East Newton Elementary School,130393001456,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,East Newton Elementary School,130393001456,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,East Newton Elementary School,130393001456,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,East Newton Elementary School,130393001456,2015,Total enrollment,,0.00,4.00,0.00,28.00,166.00,340.00,10.00,548.00,62.00,22.00,13.00
GA,Newton County,GA,West Newton Elementary School,130393002223,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,West Newton Elementary School,130393002223,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Newton County,GA,West Newton Elementary School,130393002223,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,West Newton Elementary School,130393002223,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Newton County,GA,West Newton Elementary School,130393002223,2015,Total enrollment,,0.00,4.00,2.00,160.00,484.00,52.00,31.00,733.00,89.00,22.00,130.00
GA,Newton County,GA,Live Oak Elementary,130393003876,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Newton County,GA,Live Oak Elementary,130393003876,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
