Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Liberty Middle School,130222002559,2015,Total enrollment,,7.00,25.00,2.00,118.00,31.00,799.00,34.00,1016.00,155.00,43.00,13.00
GA,Forsyth County Schools,GA,Little Mill Middle School,130222003355,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Little Mill Middle School,130222003355,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Little Mill Middle School,130222003355,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Little Mill Middle School,130222003355,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Little Mill Middle School,130222003355,2015,Total enrollment,,7.00,10.00,0.00,157.00,4.00,670.00,22.00,870.00,119.00,28.00,22.00
GA,Forsyth County Schools,GA,Otwell Middle School,130222000951,2015,Allegations - basis of race color or national origin,3.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Otwell Middle School,130222000951,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Otwell Middle School,130222000951,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,2.00,0.00,2.00,0.00,2.00,0.00,6.00,2.00,0.00,0.00
GA,Forsyth County Schools,GA,Otwell Middle School,130222000951,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,2.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Otwell Middle School,130222000951,2015,Total enrollment,,4.00,37.00,0.00,343.00,58.00,733.00,25.00,1200.00,164.00,37.00,118.00
GA,Forsyth County Schools,GA,Haw Creek Elementary,130222003825,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Haw Creek Elementary,130222003825,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
