Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Couch Middle School,130255003917,2015,Total enrollment,,4.00,67.00,2.00,142.00,376.00,352.00,58.00,1001.00,143.00,13.00,25.00
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Bay Creek Middle School,130255003870,2015,Total enrollment,,4.00,49.00,2.00,145.00,541.00,313.00,52.00,1106.00,125.00,10.00,28.00
GA,Gwinnett County,GA,Grayson Elementary School,130255001139,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Grayson Elementary School,130255001139,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Grayson Elementary School,130255001139,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Grayson Elementary School,130255001139,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Grayson Elementary School,130255001139,2015,Total enrollment,,5.00,49.00,2.00,109.00,313.00,367.00,43.00,888.00,161.00,0.00,97.00
GA,Gwinnett County,GA,Starling Elementary School,130255003835,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Starling Elementary School,130255003835,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Starling Elementary School,130255003835,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Starling Elementary School,130255003835,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Starling Elementary School,130255003835,2015,Total enrollment,,0.00,79.00,2.00,124.00,373.00,334.00,31.00,943.00,65.00,7.00,130.00
GA,Gwinnett County,GA,Trip Elementary School,130255003786,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Trip Elementary School,130255003786,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Trip Elementary School,130255003786,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Trip Elementary School,130255003786,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Trip Elementary School,130255003786,2015,Total enrollment,,7.00,34.00,2.00,112.00,493.00,271.00,43.00,962.00,110.00,10.00,121.00

