Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,East Paulding Middle School,130402000542,2015,Total enrollment,,0.00,10.00,2.00,67.00,118.00,646.00,43.00,886.00,146.00,25.00,10.00
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Dallas Elementary School,130402001470,2015,Total enrollment,,2.00,10.00,0.00,40.00,181.00,160.00,25.00,418.00,68.00,0.00,19.00
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,East Paulding High School,130402002188,2015,Total enrollment,,7.00,19.00,4.00,130.00,343.00,1102.00,76.00,1681.00,191.00,22.00,10.00
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Roland W. Russom Elementary,130402002959,2015,Total enrollment,,0.00,13.00,0.00,64.00,139.00,574.00,37.00,827.00,125.00,0.00,25.00
GA,Paulding County,GA,C. A. Roberts Elementary School,130402002274,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,C. A. Roberts Elementary School,130402002274,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,C. A. Roberts Elementary School,130402002274,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,C. A. Roberts Elementary School,130402002274,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,C. A. Roberts Elementary School,130402002274,2015,Total enrollment,,0.00,4.00,2.00,97.00,85.00,448.00,31.00,667.00,92.00,0.00,55.00
