Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Douglas County,GA,Beulah Elementary School,130186000858,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Beulah Elementary School,130186000858,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Beulah Elementary School,130186000858,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Beulah Elementary School,130186000858,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Beulah Elementary School,130186000858,2015,Total enrollment,,0.00,7.00,7.00,184.00,115.00,118.00,13.00,444.00,53.00,4.00,166.00
GA,Douglas County,GA,Chapel Hill High School,130186002317,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Chapel Hill High School,130186002317,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Chapel Hill High School,130186002317,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Chapel Hill High School,130186002317,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Chapel Hill High School,130186002317,2015,Total enrollment,,2.00,16.00,4.00,118.00,721.00,454.00,55.00,1370.00,134.00,31.00,13.00
GA,Paulding County,GA,Connie Dugan Elementary School,130402003439,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,Connie Dugan Elementary School,130402003439,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
