Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Total enrollment,,7.00,244.00,2.00,184.00,1159.00,166.00,43.00,1805.00,137.00,22.00,289.00
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Total enrollment,,2.00,169.00,2.00,157.00,754.00,112.00,25.00,1221.00,107.00,25.00,220.00
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Total enrollment,,4.00,28.00,2.00,64.00,199.00,121.00,19.00,437.00,83.00,13.00,79.00
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Total enrollment,,2.00,22.00,2.00,88.00,88.00,142.00,16.00,360.00,50.00,4.00,64.00
GA,Gwinnett County,GA,Nesbit Elementary School,130255000296,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Nesbit Elementary School,130255000296,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Nesbit Elementary School,130255000296,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Nesbit Elementary School,130255000296,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Nesbit Elementary School,130255000296,2015,Total enrollment,,2.00,64.00,0.00,967.00,316.00,34.00,19.00,1402.00,131.00,2.00,907.00
GA,DeKalb County,GA,Idlewood Elementary School,130174000678,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Idlewood Elementary School,130174000678,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Idlewood Elementary School,130174000678,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Idlewood Elementary School,130174000678,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Idlewood Elementary School,130174000678,2015,Total enrollment,,4.00,175.00,4.00,37.00,691.00,22.00,10.00,943.00,53.00,13.00,337.00
GA,DeKalb County,GA,Brockett Elementary School,130174000654,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Brockett Elementary School,130174000654,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Brockett Elementary School,130174000654,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Brockett Elementary School,130174000654,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Brockett Elementary School,130174000654,2015,Total enrollment,,2.00,97.00,0.00,139.00,148.00,67.00,19.00,472.00,32.00,7.00,157.00

