Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County Middle School,130321002273,2015,Total enrollment,,2.00,4.00,0.00,19.00,187.00,364.00,16.00,592.00,86.00,5.00,4.00
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County Elementary School,130321003425,2015,Total enrollment,,0.00,4.00,0.00,19.00,175.00,385.00,28.00,611.00,83.00,0.00,4.00
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County Primary School,130321002084,2015,Total enrollment,,0.00,4.00,0.00,13.00,277.00,442.00,34.00,770.00,56.00,2.00,7.00
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Lamar County,GA,Lamar County High School,130321001294,2015,Total enrollment,,2.00,4.00,0.00,10.00,265.00,481.00,10.00,772.00,77.00,4.00,7.00

