Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Emerson Elementary School,130033000179,2015,Total enrollment,,0.00,4.00,0.00,49.00,19.00,328.00,16.00,416.00,47.00,0.00,31.00
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,South Central Middle School,130033002060,2015,Total enrollment,,2.00,7.00,0.00,103.00,61.00,439.00,34.00,646.00,86.00,4.00,19.00

