Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Allegations - basis of race color or national origin,14.00,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,2.00,13.00,4.00,2.00,21.00,2.00,2.00,2.00
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,2.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Fayette County,GA,Bennett's Mill Middle School,130213003638,2015,Total enrollment,,4.00,61.00,2.00,103.00,526.00,205.00,67.00,968.00,116.00,31.00,19.00
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Whitewater Middle School,130213002117,2015,Total enrollment,,2.00,28.00,2.00,55.00,187.00,601.00,43.00,918.00,95.00,31.00,4.00
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Cleveland Elementary School,130213002554,2015,Total enrollment,,4.00,25.00,2.00,94.00,169.00,184.00,25.00,503.00,38.00,7.00,28.00
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,River's Edge Elementary School,130123000811,2015,Total enrollment,,2.00,16.00,0.00,61.00,508.00,22.00,28.00,637.00,41.00,4.00,19.00
GA,Fayette County,GA,Fayette County High School,130213002168,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Fayette County High School,130213002168,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Fayette County High School,130213002168,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
