Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Heard County,GA,Heard Elementary School,130279001202,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Heard County,GA,Heard Elementary School,130279001202,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Heard County,GA,Heard Elementary School,130279001202,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Heard Elementary School,130279001202,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Heard Elementary School,130279001202,2015,Total enrollment,,0.00,0.00,0.00,22.00,61.00,523.00,43.00,649.00,122.00,2.00,0.00
GA,Heard County,GA,Centralhatchee Elementary School,130279001200,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Heard County,GA,Centralhatchee Elementary School,130279001200,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Heard County,GA,Centralhatchee Elementary School,130279001200,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Centralhatchee Elementary School,130279001200,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Centralhatchee Elementary School,130279001200,2015,Total enrollment,,0.00,0.00,0.00,4.00,7.00,181.00,4.00,196.00,26.00,0.00,0.00
GA,Heard County,GA,Heard County Middle School,130279002574,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Heard County,GA,Heard County Middle School,130279002574,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Heard County,GA,Heard County Middle School,130279002574,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Heard County Middle School,130279002574,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Heard County Middle School,130279002574,2015,Total enrollment,,0.00,4.00,0.00,13.00,43.00,361.00,19.00,440.00,56.00,10.00,0.00
GA,Heard County,GA,Heard County High School,130279001201,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Heard County,GA,Heard County High School,130279001201,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Heard County,GA,Heard County High School,130279001201,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Heard County High School,130279001201,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Heard County High School,130279001201,2015,Total enrollment,,0.00,2.00,0.00,19.00,67.00,526.00,22.00,636.00,65.00,13.00,0.00

