Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Spalding County,GA,Jordan Hill Road Elementary School,130252001049,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Spalding County,GA,Jordan Hill Road Elementary School,130252001049,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Spalding County,GA,Jordan Hill Road Elementary School,130252001049,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Spalding County,GA,Jordan Hill Road Elementary School,130252001049,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Spalding County,GA,Jordan Hill Road Elementary School,130252001049,2015,Total enrollment,,2.00,4.00,0.00,52.00,163.00,238.00,31.00,490.00,68.00,0.00,28.00
GA,Spalding County,GA,Moore Elementary School,130252001089,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Spalding County,GA,Moore Elementary School,130252001089,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Spalding County,GA,Moore Elementary School,130252001089,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Spalding County,GA,Moore Elementary School,130252001089,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Spalding County,GA,Moore Elementary School,130252001089,2015,Total enrollment,,0.00,0.00,0.00,4.00,337.00,16.00,10.00,367.00,23.00,2.00,2.00
GA,Spalding County,GA,Orrs Elementary School,130252001093,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Spalding County,GA,Orrs Elementary School,130252001093,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Spalding County,GA,Orrs Elementary School,130252001093,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
