Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Henry County,GA,Dutchtown Elementary School,130282003409,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Dutchtown Elementary School,130282003409,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Dutchtown Elementary School,130282003409,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Dutchtown Elementary School,130282003409,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Dutchtown Elementary School,130282003409,2015,Total enrollment,,2.00,46.00,2.00,55.00,508.00,67.00,28.00,708.00,98.00,0.00,40.00
GA,Henry County,GA,Hampton Middle School,130282003952,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Hampton Middle School,130282003952,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Hampton Middle School,130282003952,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Hampton Middle School,130282003952,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Hampton Middle School,130282003952,2015,Total enrollment,,4.00,7.00,2.00,85.00,466.00,301.00,25.00,890.00,110.00,4.00,10.00
GA,Clayton County,GA,Lovejoy High School,130123002067,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lovejoy High School,130123002067,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lovejoy High School,130123002067,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lovejoy High School,130123002067,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lovejoy High School,130123002067,2015,Total enrollment,,4.00,13.00,2.00,238.00,1564.00,46.00,55.00,1922.00,215.00,10.00,37.00
GA,Henry County,GA,Rocky Creek Elementary,130282003824,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Rocky Creek Elementary,130282003824,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Rocky Creek Elementary,130282003824,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Rocky Creek Elementary,130282003824,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Rocky Creek Elementary,130282003824,2015,Total enrollment,,0.00,4.00,2.00,73.00,316.00,292.00,34.00,721.00,65.00,2.00,13.00
GA,Clayton County,GA,Eddie White Academy,130123004022,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Eddie White Academy,130123004022,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Eddie White Academy,130123004022,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Eddie White Academy,130123004022,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Eddie White Academy,130123004022,2015,Total enrollment,,4.00,13.00,2.00,172.00,1123.00,46.00,34.00,1394.00,116.00,16.00,46.00
GA,Henry County,GA,Hampton Elementary School,130282001212,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Hampton Elementary School,130282001212,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Hampton Elementary School,130282001212,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Hampton Elementary School,130282001212,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Hampton Elementary School,130282001212,2015,Total enrollment,,2.00,5.00,0.00,64.00,172.00,193.00,31.00,467.00,47.00,2.00,37.00
GA,Clayton County,GA,Lovejoy Middle School,130123002105,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lovejoy Middle School,130123002105,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lovejoy Middle School,130123002105,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lovejoy Middle School,130123002105,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lovejoy Middle School,130123002105,2015,Total enrollment,,2.00,7.00,2.00,121.00,424.00,10.00,16.00,582.00,80.00,4.00,16.00
GA,Clayton County,GA,Kemp Elem School,130123001925,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kemp Elem School,130123001925,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kemp Elem School,130123001925,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Kemp Elem School,130123001925,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Kemp Elem School,130123001925,2015,Total enrollment,,2.00,7.00,0.00,88.00,535.00,13.00,25.00,670.00,77.00,2.00,46.00
GA,Clayton County,GA,Hawthorne Elementary School,130123002246,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Hawthorne Elementary School,130123002246,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
