Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Hogansville Elementary School,130000101853,2015,Total enrollment,,0.00,4.00,0.00,19.00,178.00,295.00,28.00,524.00,44.00,4.00,10.00
GA,Troup County,GA,Callaway High School,130000102444,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Troup County,GA,Callaway High School,130000102444,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Callaway High School,130000102444,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Callaway High School,130000102444,2015,Total enrollment,,4.00,22.00,2.00,31.00,370.00,379.00,34.00,842.00,59.00,13.00,16.00

