Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Pickens County,GA,Pickens County Middle School,130411002048,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,GA,Pickens County Middle School,130411002048,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,GA,Pickens County Middle School,130411002048,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Pickens County Middle School,130411002048,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Pickens County Middle School,130411002048,2015,Total enrollment,,2.00,4.00,0.00,22.00,7.00,439.00,7.00,481.00,83.00,19.00,0.00
GA,Pickens County,GA,Jasper Elementary School,130411002590,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,GA,Jasper Elementary School,130411002590,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,GA,Jasper Elementary School,130411002590,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Jasper Elementary School,130411002590,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Jasper Elementary School,130411002590,2015,Total enrollment,,0.00,2.00,0.00,52.00,0.00,436.00,10.00,500.00,62.00,16.00,28.00
GA,Pickens County,GA,Pickens County High School,130411002276,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,GA,Pickens County High School,130411002276,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,GA,Pickens County High School,130411002276,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Pickens County High School,130411002276,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Pickens County High School,130411002276,2015,Total enrollment,,2.00,10.00,2.00,55.00,16.00,1237.00,25.00,1347.00,158.00,40.00,2.00
GA,Pickens County,GA,Hill City Elementary School,130411002589,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,GA,Hill City Elementary School,130411002589,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,GA,Hill City Elementary School,130411002589,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Hill City Elementary School,130411002589,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Hill City Elementary School,130411002589,2015,Total enrollment,,0.00,2.00,0.00,13.00,2.00,583.00,10.00,610.00,71.00,7.00,0.00
GA,Pickens County,GA,Harmony Elementary School,130411003441,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,GA,Harmony Elementary School,130411003441,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,GA,Harmony Elementary School,130411003441,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Harmony Elementary School,130411003441,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Harmony Elementary School,130411003441,2015,Total enrollment,,2.00,2.00,0.00,22.00,4.00,502.00,13.00,545.00,104.00,7.00,2.00
GA,Pickens County,GA,Jasper Middle School,130411002592,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Pickens County,GA,Jasper Middle School,130411002592,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Pickens County,GA,Jasper Middle School,130411002592,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Jasper Middle School,130411002592,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Pickens County,GA,Jasper Middle School,130411002592,2015,Total enrollment,,2.00,4.00,0.00,40.00,2.00,514.00,7.00,569.00,86.00,0.00,4.00

