Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Total enrollment,,0.00,7.00,2.00,307.00,352.00,28.00,25.00,721.00,77.00,2.00,196.00
GA,Clayton County,GA,Mundys Mill Middle School,130123000463,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mundys Mill Middle School,130123000463,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mundys Mill Middle School,130123000463,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mundys Mill Middle School,130123000463,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mundys Mill Middle School,130123000463,2015,Total enrollment,,4.00,31.00,2.00,115.00,586.00,25.00,16.00,779.00,89.00,10.00,16.00
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Total enrollment,,4.00,22.00,4.00,208.00,1402.00,22.00,34.00,1696.00,224.00,10.00,46.00
GA,Clayton County,GA,Lee Street Elementary School,130123000472,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lee Street Elementary School,130123000472,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lee Street Elementary School,130123000472,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lee Street Elementary School,130123000472,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lee Street Elementary School,130123000472,2015,Total enrollment,,4.00,13.00,0.00,103.00,502.00,25.00,31.00,678.00,80.00,2.00,88.00
GA,Clayton County,GA,Kendrick Middle School,130123002057,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kendrick Middle School,130123002057,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kendrick Middle School,130123002057,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Kendrick Middle School,130123002057,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Kendrick Middle School,130123002057,2015,Total enrollment,,0.00,22.00,0.00,121.00,556.00,10.00,10.00,719.00,95.00,2.00,37.00
GA,Clayton County,GA,James Jackson Elementary School,130123002837,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,James Jackson Elementary School,130123002837,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,James Jackson Elementary School,130123002837,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,James Jackson Elementary School,130123002837,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,James Jackson Elementary School,130123002837,2015,Total enrollment,,4.00,40.00,4.00,94.00,877.00,25.00,34.00,1078.00,68.00,2.00,64.00
GA,Clayton County,GA,Mount Zion High School,130123002068,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mount Zion High School,130123002068,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mount Zion High School,130123002068,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mount Zion High School,130123002068,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mount Zion High School,130123002068,2015,Total enrollment,,2.00,37.00,2.00,241.00,898.00,19.00,34.00,1233.00,149.00,7.00,61.00
GA,Clayton County,GA,Arnold Elementary School,130123000469,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Arnold Elementary School,130123000469,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Arnold Elementary School,130123000469,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Arnold Elementary School,130123000469,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Arnold Elementary School,130123000469,2015,Total enrollment,,0.00,34.00,0.00,82.00,340.00,52.00,19.00,527.00,56.00,4.00,31.00
GA,Clayton County,GA,Callaway Elementary School,130123002470,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Callaway Elementary School,130123002470,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Callaway Elementary School,130123002470,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Callaway Elementary School,130123002470,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Callaway Elementary School,130123002470,2015,Total enrollment,,4.00,40.00,0.00,133.00,676.00,16.00,19.00,888.00,104.00,7.00,112.00
GA,Clayton County,GA,Clayton County Alternative School Virtual Academy,130123002693,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Clayton County Alternative School Virtual Academy,130123002693,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Clayton County Alternative School Virtual Academy,130123002693,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Clayton County Alternative School Virtual Academy,130123002693,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Clayton County Alternative School Virtual Academy,130123002693,2015,Total enrollment,,0.00,2.00,0.00,16.00,202.00,7.00,4.00,231.00,65.00,0.00,4.00
GA,Clayton County,GA,Jonesboro High School,130123000473,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Jonesboro High School,130123000473,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Jonesboro High School,130123000473,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Jonesboro High School,130123000473,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Jonesboro High School,130123000473,2015,Total enrollment,,0.00,46.00,0.00,220.00,850.00,55.00,37.00,1208.00,176.00,7.00,37.00
GA,Clayton County,GA,Pointe South Middle School,130123000478,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Pointe South Middle School,130123000478,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Pointe South Middle School,130123000478,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Pointe South Middle School,130123000478,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Pointe South Middle School,130123000478,2015,Total enrollment,,2.00,10.00,2.00,109.00,631.00,10.00,19.00,783.00,92.00,4.00,25.00
GA,Clayton County,GA,Mount Zion Elementary School,130123000461,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mount Zion Elementary School,130123000461,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Mount Zion Elementary School,130123000461,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mount Zion Elementary School,130123000461,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Mount Zion Elementary School,130123000461,2015,Total enrollment,,2.00,25.00,0.00,154.00,421.00,25.00,13.00,640.00,59.00,4.00,118.00
GA,Clayton County,GA,Flint River Program,130123003880,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Flint River Program,130123003880,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Flint River Program,130123003880,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Flint River Program,130123003880,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
