Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Kennesaw Charter School,130129002842,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Kennesaw Charter School,130129002842,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Kennesaw Charter School,130129002842,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Kennesaw Charter School,130129002842,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Kennesaw Charter School,130129002842,2015,Total enrollment,,2.00,55.00,0.00,88.00,424.00,244.00,46.00,859.00,50.00,16.00,46.00
GA,Cobb County,GA,Lost Mountain Middle School,130129002250,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Lost Mountain Middle School,130129002250,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Lost Mountain Middle School,130129002250,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lost Mountain Middle School,130129002250,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lost Mountain Middle School,130129002250,2015,Total enrollment,,4.00,28.00,0.00,67.00,172.00,766.00,28.00,1065.00,131.00,37.00,2.00
GA,Cobb County,GA,Pine Mountain Middle School,130129000511,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Pine Mountain Middle School,130129000511,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
