Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Total enrollment,,2.00,7.00,0.00,19.00,79.00,397.00,31.00,535.00,38.00,2.00,7.00
GA,Troup County,GA,Troup County High School,130000101964,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Troup County High School,130000101964,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,Troup County High School,130000101964,2015,Total enrollment,,0.00,13.00,0.00,46.00,448.00,757.00,61.00,1325.00,125.00,19.00,7.00
GA,Troup County,GA,LaGrange High School,130000100608,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,LaGrange High School,130000100608,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Troup County,GA,LaGrange High School,130000100608,2015,Total enrollment,,4.00,40.00,2.00,67.00,571.00,592.00,37.00,1313.00,107.00,34.00,25.00
