Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Total enrollment,,4.00,82.00,2.00,445.00,385.00,247.00,49.00,1214.00,155.00,2.00,418.00
GA,Gwinnett County,GA,Corley Elementary School,130255002898,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Corley Elementary School,130255002898,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Corley Elementary School,130255002898,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Corley Elementary School,130255002898,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Corley Elementary School,130255002898,2015,Total enrollment,,2.00,40.00,2.00,772.00,400.00,40.00,34.00,1290.00,152.00,7.00,667.00
GA,Gwinnett County,GA,Richards Middle School,130255002004,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
