Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Total enrollment,,0.00,4.00,0.00,67.00,46.00,556.00,28.00,701.00,125.00,7.00,28.00
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Total enrollment,,0.00,0.00,0.00,58.00,46.00,595.00,22.00,721.00,122.00,19.00,10.00
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Total enrollment,,0.00,2.00,2.00,70.00,52.00,709.00,34.00,869.00,155.00,28.00,7.00
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Total enrollment,,7.00,0.00,0.00,28.00,22.00,535.00,16.00,608.00,53.00,2.00,25.00

