Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Department of Juvenile Justice,GA,DeKalb Regional Youth Detention Center,130002603504,2015,Total enrollment,,0.00,2.00,0.00,2.00,32.00,0.00,0.00,36.00,4.00,5.00,0.00
GA,DeKalb County,GA,The Museum School of Avondale Estates,130174004039,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,The Museum School of Avondale Estates,130174004039,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,The Museum School of Avondale Estates,130174004039,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,The Museum School of Avondale Estates,130174004039,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,The Museum School of Avondale Estates,130174004039,2015,Total enrollment,,2.00,10.00,2.00,28.00,130.00,298.00,43.00,513.00,38.00,7.00,10.00
GA,DeKalb County,GA,Ronald E McNair Discover Learning Academy,130174003766,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Ronald E McNair Discover Learning Academy,130174003766,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Ronald E McNair Discover Learning Academy,130174003766,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Ronald E McNair Discover Learning Academy,130174003766,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Ronald E McNair Discover Learning Academy,130174003766,2015,Total enrollment,,0.00,0.00,0.00,22.00,838.00,13.00,7.00,880.00,47.00,13.00,19.00
GA,DeKalb County,GA,McNair Middle School,130174000649,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,McNair Middle School,130174000649,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,McNair Middle School,130174000649,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
