Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Total enrollment,,2.00,4.00,2.00,73.00,205.00,592.00,25.00,903.00,137.00,19.00,5.00
GA,Henry County,GA,Locust Grove High,130282003928,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Locust Grove High,130282003928,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Locust Grove High,130282003928,2015,Total enrollment,,0.00,13.00,2.00,79.00,304.00,943.00,61.00,1402.00,197.00,13.00,7.00
GA,Henry County,GA,Luella Middle School,130282002393,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Luella Middle School,130282002393,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Luella Middle School,130282002393,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Luella Middle School,130282002393,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Luella Middle School,130282002393,2015,Total enrollment,,0.00,34.00,4.00,94.00,484.00,178.00,40.00,834.00,119.00,10.00,19.00
GA,Henry County,GA,Luella High School,130282002916,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Luella High School,130282002916,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Luella High School,130282002916,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Luella High School,130282002916,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
