Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Gwinnett County,GA,Lilburn Middle School,130255001111,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Lilburn Middle School,130255001111,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Lilburn Middle School,130255001111,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Lilburn Middle School,130255001111,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Lilburn Middle School,130255001111,2015,Total enrollment,,7.00,142.00,0.00,1057.00,253.00,40.00,25.00,1524.00,173.00,0.00,361.00
GA,Gwinnett County,GA,Parkview High School,130255001114,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parkview High School,130255001114,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parkview High School,130255001114,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Parkview High School,130255001114,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Parkview High School,130255001114,2015,Total enrollment,,13.00,571.00,4.00,511.00,802.00,937.00,121.00,2959.00,299.00,2.00,112.00
GA,Gwinnett County,GA,Lilburn Elementary School,130255001117,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Lilburn Elementary School,130255001117,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Lilburn Elementary School,130255001117,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Lilburn Elementary School,130255001117,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Lilburn Elementary School,130255001117,2015,Total enrollment,,2.00,172.00,0.00,979.00,259.00,85.00,34.00,1531.00,167.00,7.00,931.00
GA,Gwinnett County,GA,Mountain Park Elementary School,130255001137,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mountain Park Elementary School,130255001137,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mountain Park Elementary School,130255001137,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Mountain Park Elementary School,130255001137,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Mountain Park Elementary School,130255001137,2015,Total enrollment,,2.00,82.00,4.00,76.00,157.00,226.00,43.00,590.00,47.00,2.00,91.00
GA,Gwinnett County,GA,Trickum Middle School,130255001115,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Trickum Middle School,130255001115,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Trickum Middle School,130255001115,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Trickum Middle School,130255001115,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Trickum Middle School,130255001115,2015,Total enrollment,,7.00,430.00,4.00,436.00,478.00,595.00,94.00,2044.00,227.00,13.00,103.00
GA,Gwinnett County,GA,Hopkins Elementary School,130255001938,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
