Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Summit Hill Elementary,130228002321,2015,Total enrollment,,4.00,37.00,4.00,52.00,46.00,565.00,25.00,733.00,71.00,28.00,4.00
GA,Fulton County,GA,Hopewell Middle School,130228003360,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,Fulton County,GA,Hopewell Middle School,130228003360,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Hopewell Middle School,130228003360,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00
GA,Fulton County,GA,Hopewell Middle School,130228003360,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Hopewell Middle School,130228003360,2015,Total enrollment,,2.00,190.00,0.00,160.00,223.00,829.00,43.00,1447.00,170.00,64.00,31.00
GA,Fulton County,GA,Alpharetta High School,130228003364,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Alpharetta High School,130228003364,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Alpharetta High School,130228003364,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Alpharetta High School,130228003364,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Alpharetta High School,130228003364,2015,Total enrollment,,7.00,376.00,0.00,199.00,382.00,997.00,70.00,2031.00,167.00,124.00,40.00
GA,Fulton County,GA,State Bridge Crossing Elementary School,130228001620,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,State Bridge Crossing Elementary School,130228001620,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,State Bridge Crossing Elementary School,130228001620,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,State Bridge Crossing Elementary School,130228001620,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,State Bridge Crossing Elementary School,130228001620,2015,Total enrollment,,2.00,199.00,2.00,70.00,88.00,418.00,43.00,822.00,80.00,22.00,31.00
GA,Fulton County,GA,Cogburn Woods Elementary School,130228003365,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Fulton County,GA,Cogburn Woods Elementary School,130228003365,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Cogburn Woods Elementary School,130228003365,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Cogburn Woods Elementary School,130228003365,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Cogburn Woods Elementary School,130228003365,2015,Total enrollment,,2.00,193.00,4.00,100.00,139.00,460.00,28.00,926.00,86.00,13.00,37.00
GA,Fulton County,GA,Dolvin Elementary School,130228000965,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Dolvin Elementary School,130228000965,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Dolvin Elementary School,130228000965,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Dolvin Elementary School,130228000965,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Dolvin Elementary School,130228000965,2015,Total enrollment,,0.00,226.00,0.00,67.00,67.00,460.00,34.00,854.00,65.00,5.00,43.00
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Chattahoochee High School,130228002172,2015,Total enrollment,,0.00,478.00,4.00,169.00,256.00,952.00,91.00,1950.00,176.00,106.00,34.00
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Allegations - basis of race color or national origin,3.00,,,,,,,,,,,
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Manning Oaks Elementary School,130228002265,2015,Total enrollment,,0.00,232.00,0.00,178.00,220.00,208.00,25.00,863.00,74.00,7.00,163.00
GA,Fulton County,GA,Milton High School,130228001005,2015,Allegations - basis of race color or national origin,3.00,,,,,,,,,,,
GA,Fulton County,GA,Milton High School,130228001005,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Milton High School,130228001005,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,2.00
GA,Fulton County,GA,Milton High School,130228001005,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Milton High School,130228001005,2015,Total enrollment,,0.00,202.00,0.00,223.00,280.00,1402.00,73.00,2180.00,194.00,103.00,46.00
GA,Fulton County,GA,Crabapple Crossing Elementary School,130228000035,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Crossing Elementary School,130228000035,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Crossing Elementary School,130228000035,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Crabapple Crossing Elementary School,130228000035,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Crabapple Crossing Elementary School,130228000035,2015,Total enrollment,,0.00,166.00,2.00,46.00,31.00,523.00,40.00,808.00,59.00,19.00,34.00
GA,Fulton County,GA,Creek View Elementary School,130228002489,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Creek View Elementary School,130228002489,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Creek View Elementary School,130228002489,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Creek View Elementary School,130228002489,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Creek View Elementary School,130228002489,2015,Total enrollment,,0.00,358.00,0.00,106.00,112.00,361.00,43.00,980.00,77.00,25.00,82.00
GA,Forsyth County Schools,GA,Midway Elementary School,130222000953,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Midway Elementary School,130222000953,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Midway Elementary School,130222000953,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00
GA,Forsyth County Schools,GA,Midway Elementary School,130222000953,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Midway Elementary School,130222000953,2015,Total enrollment,,4.00,79.00,0.00,292.00,58.00,226.00,16.00,675.00,86.00,10.00,250.00
GA,Fulton County,GA,Lake Windward Elementary School,130228002078,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Lake Windward Elementary School,130228002078,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Lake Windward Elementary School,130228002078,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
