Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Total enrollment,,0.00,7.00,2.00,73.00,448.00,133.00,46.00,709.00,122.00,10.00,19.00
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Total enrollment,,4.00,43.00,0.00,133.00,682.00,133.00,37.00,1032.00,149.00,13.00,28.00
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Total enrollment,,2.00,13.00,2.00,55.00,517.00,109.00,37.00,735.00,113.00,4.00,16.00
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Total enrollment,,2.00,7.00,2.00,43.00,595.00,49.00,37.00,735.00,125.00,2.00,7.00
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Total enrollment,,2.00,2.00,0.00,10.00,193.00,55.00,13.00,275.00,65.00,4.00,4.00
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Total enrollment,,2.00,49.00,0.00,49.00,322.00,568.00,28.00,1018.00,125.00,10.00,10.00
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Total enrollment,,4.00,7.00,0.00,31.00,103.00,541.00,31.00,717.00,101.00,28.00,4.00
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Total enrollment,,0.00,43.00,2.00,49.00,496.00,64.00,55.00,709.00,71.00,4.00,19.00
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Total enrollment,,0.00,31.00,0.00,40.00,211.00,376.00,28.00,686.00,104.00,7.00,16.00
GA,Henry County,GA,Ola Middle School,130282003419,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Ola Middle School,130282003419,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Ola Middle School,130282003419,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Ola Middle School,130282003419,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Ola Middle School,130282003419,2015,Total enrollment,,4.00,10.00,4.00,61.00,214.00,841.00,46.00,1180.00,176.00,73.00,7.00
GA,Henry County,GA,Flippen Elementary School,130282002918,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Flippen Elementary School,130282002918,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Flippen Elementary School,130282002918,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Flippen Elementary School,130282002918,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
