Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Gwinnett County,GA,Susan Stripling Elementary School,130255002324,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Susan Stripling Elementary School,130255002324,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Susan Stripling Elementary School,130255002324,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Susan Stripling Elementary School,130255002324,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Susan Stripling Elementary School,130255002324,2015,Total enrollment,,4.00,58.00,0.00,823.00,274.00,43.00,22.00,1224.00,98.00,10.00,673.00
GA,Gwinnett County,GA,North Metro Academy of Performing Arts,130255004169,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Metro Academy of Performing Arts,130255004169,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Metro Academy of Performing Arts,130255004169,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,North Metro Academy of Performing Arts,130255004169,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,North Metro Academy of Performing Arts,130255004169,2015,Total enrollment,,2.00,4.00,0.00,46.00,316.00,22.00,16.00,406.00,23.00,0.00,19.00
GA,Gwinnett County,GA,Gwinnett Intervention Education Center (GIVE) West,130255003690,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Gwinnett Intervention Education Center (GIVE) West,130255003690,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Gwinnett Intervention Education Center (GIVE) West,130255003690,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Gwinnett Intervention Education Center (GIVE) West,130255003690,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Gwinnett Intervention Education Center (GIVE) West,130255003690,2015,Total enrollment,,0.00,0.00,0.00,91.00,85.00,13.00,4.00,193.00,83.00,0.00,19.00
GA,Gwinnett County,GA,Norcross High School,130255001132,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Norcross High School,130255001132,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Norcross High School,130255001132,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
