Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Total enrollment,,0.00,2.00,0.00,2.00,7.00,16.00,0.00,27.00,4.00,0.00,0.00
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Total enrollment,,0.00,0.00,0.00,118.00,364.00,43.00,22.00,547.00,65.00,4.00,40.00

