Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Total enrollment,,4.00,112.00,0.00,64.00,88.00,274.00,34.00,576.00,35.00,16.00,76.00
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Total enrollment,,7.00,139.00,2.00,163.00,160.00,1102.00,94.00,1667.00,95.00,82.00,37.00
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Total enrollment,,4.00,40.00,2.00,97.00,37.00,409.00,34.00,623.00,50.00,10.00,76.00
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Total enrollment,,7.00,121.00,2.00,124.00,109.00,781.00,70.00,1214.00,134.00,49.00,46.00
GA,Fayette County,GA,Braelinn Elementary School,130213002115,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Braelinn Elementary School,130213002115,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Braelinn Elementary School,130213002115,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Braelinn Elementary School,130213002115,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Braelinn Elementary School,130213002115,2015,Total enrollment,,0.00,28.00,4.00,31.00,22.00,412.00,25.00,522.00,44.00,10.00,19.00
GA,Fayette County,GA,Oak Grove Elementary School,130213001955,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Oak Grove Elementary School,130213001955,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Oak Grove Elementary School,130213001955,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Oak Grove Elementary School,130213001955,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Oak Grove Elementary School,130213001955,2015,Total enrollment,,4.00,55.00,0.00,70.00,73.00,235.00,19.00,456.00,47.00,13.00,58.00
GA,Fayette County,GA,Crabapple Lane Elementary School,130213002876,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Crabapple Lane Elementary School,130213002876,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Crabapple Lane Elementary School,130213002876,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Crabapple Lane Elementary School,130213002876,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Crabapple Lane Elementary School,130213002876,2015,Total enrollment,,2.00,34.00,0.00,46.00,100.00,451.00,31.00,664.00,62.00,7.00,31.00
GA,Fayette County,GA,Peachtree City Elementary School,130213000923,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fayette County,GA,Peachtree City Elementary School,130213000923,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fayette County,GA,Peachtree City Elementary School,130213000923,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Peachtree City Elementary School,130213000923,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fayette County,GA,Peachtree City Elementary School,130213000923,2015,Total enrollment,,2.00,85.00,0.00,46.00,40.00,304.00,22.00,499.00,38.00,4.00,61.00

