Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Total enrollment,,4.00,19.00,2.00,391.00,433.00,91.00,25.00,965.00,158.00,13.00,91.00
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Total enrollment,,0.00,4.00,0.00,175.00,313.00,19.00,10.00,521.00,68.00,7.00,46.00
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Total enrollment,,2.00,13.00,0.00,703.00,1564.00,178.00,34.00,2494.00,248.00,31.00,184.00
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Total enrollment,,0.00,4.00,0.00,298.00,637.00,31.00,16.00,986.00,146.00,10.00,190.00
GA,Cobb County,GA,Riverside Primary School,130129003530,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Riverside Primary School,130129003530,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Riverside Primary School,130129003530,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Riverside Primary School,130129003530,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Riverside Primary School,130129003530,2015,Total enrollment,,0.00,2.00,0.00,292.00,346.00,4.00,10.00,654.00,44.00,2.00,271.00
GA,Cobb County,GA,Haven Academy,130129099998,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Haven Academy,130129099998,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Haven Academy,130129099998,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Haven Academy,130129099998,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Haven Academy,130129099998,2015,Total enrollment,,0.00,4.00,0.00,10.00,34.00,22.00,4.00,74.00,71.00,0.00,2.00
GA,Cobb County,GA,Clay Elementary School,130129000515,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Clay Elementary School,130129000515,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Clay Elementary School,130129000515,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Clay Elementary School,130129000515,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Clay Elementary School,130129000515,2015,Total enrollment,,0.00,2.00,0.00,151.00,187.00,52.00,13.00,405.00,59.00,2.00,100.00
GA,Cobb County,GA,Mableton Elementary School,130129000551,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Mableton Elementary School,130129000551,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Mableton Elementary School,130129000551,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Mableton Elementary School,130129000551,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Mableton Elementary School,130129000551,2015,Total enrollment,,0.00,5.00,0.00,361.00,457.00,157.00,40.00,1020.00,101.00,4.00,244.00
GA,Cobb County,GA,Riverside Intermediate School,130129000520,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Riverside Intermediate School,130129000520,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Riverside Intermediate School,130129000520,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Riverside Intermediate School,130129000520,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Riverside Intermediate School,130129000520,2015,Total enrollment,,2.00,7.00,4.00,562.00,649.00,19.00,13.00,1256.00,107.00,10.00,361.00
GA,Cobb County,GA,Harmony-Leland Elementary School,130129000572,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Harmony-Leland Elementary School,130129000572,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Harmony-Leland Elementary School,130129000572,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Harmony-Leland Elementary School,130129000572,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Harmony-Leland Elementary School,130129000572,2015,Total enrollment,,2.00,13.00,2.00,127.00,397.00,88.00,34.00,663.00,77.00,10.00,82.00
GA,Cobb County,GA,Lindley Middle School,130129000561,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley Middle School,130129000561,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley Middle School,130129000561,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lindley Middle School,130129000561,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cobb County,GA,Lindley Middle School,130129000561,2015,Total enrollment,,2.00,4.00,0.00,403.00,691.00,34.00,13.00,1147.00,167.00,16.00,112.00

