Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,2.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,2.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Total enrollment,,0.00,28.00,0.00,217.00,697.00,31.00,43.00,1016.00,101.00,7.00,55.00
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Total enrollment,,4.00,25.00,2.00,196.00,661.00,43.00,40.00,971.00,71.00,4.00,136.00
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Total enrollment,,2.00,19.00,0.00,91.00,451.00,16.00,13.00,592.00,77.00,7.00,28.00

