Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,State Charter Schools- Utopian Academy for the Arts Charter,GA,Utopian Academy for the Arts Charter School,130023304164,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,State Charter Schools- Utopian Academy for the Arts Charter,GA,Utopian Academy for the Arts Charter School,130023304164,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,State Charter Schools- Utopian Academy for the Arts Charter,GA,Utopian Academy for the Arts Charter School,130023304164,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Utopian Academy for the Arts Charter,GA,Utopian Academy for the Arts Charter School,130023304164,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,State Charter Schools- Utopian Academy for the Arts Charter,GA,Utopian Academy for the Arts Charter School,130023304164,2015,Total enrollment,,0.00,4.00,0.00,4.00,220.00,2.00,4.00,234.00,17.00,0.00,0.00
GA,Clayton County,GA,Church Street Elementary School,130123000490,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Church Street Elementary School,130123000490,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Church Street Elementary School,130123000490,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Church Street Elementary School,130123000490,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Church Street Elementary School,130123000490,2015,Total enrollment,,2.00,40.00,2.00,103.00,793.00,13.00,19.00,972.00,68.00,4.00,100.00
GA,Clayton County,GA,Pointe South Elementary School,130123001861,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Pointe South Elementary School,130123001861,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Pointe South Elementary School,130123001861,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Pointe South Elementary School,130123001861,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Pointe South Elementary School,130123001861,2015,Total enrollment,,2.00,4.00,4.00,91.00,589.00,7.00,25.00,722.00,77.00,2.00,37.00
GA,Clayton County,GA,Lake Ridge Elementary School,130123000812,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lake Ridge Elementary School,130123000812,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Lake Ridge Elementary School,130123000812,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lake Ridge Elementary School,130123000812,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Lake Ridge Elementary School,130123000812,2015,Total enrollment,,4.00,10.00,2.00,205.00,409.00,16.00,13.00,659.00,71.00,4.00,169.00
GA,Clayton County,GA,Riverdale High School,130123000477,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Clayton County,GA,Riverdale High School,130123000477,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Riverdale High School,130123000477,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Clayton County,GA,Riverdale High School,130123000477,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Clayton County,GA,Riverdale High School,130123000477,2015,Total enrollment,,2.00,34.00,0.00,184.00,1051.00,7.00,16.00,1294.00,158.00,7.00,55.00
GA,Clayton County,GA,Harper Elementary School,130123002524,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Harper Elementary School,130123002524,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Harper Elementary School,130123002524,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Harper Elementary School,130123002524,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Clayton County,GA,Harper Elementary School,130123002524,2015,Total enrollment,,2.00,22.00,4.00,304.00,550.00,13.00,19.00,914.00,74.00,2.00,253.00
GA,Clayton County,GA,Sequoyah Middle School,130123003317,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Clayton County,GA,Sequoyah Middle School,130123003317,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Clayton County,GA,Sequoyah Middle School,130123003317,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
