Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Total enrollment,,2.00,0.00,0.00,43.00,85.00,502.00,25.00,657.00,107.00,0.00,7.00
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Total enrollment,,2.00,7.00,0.00,37.00,118.00,697.00,37.00,898.00,146.00,34.00,2.00
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Total enrollment,,0.00,2.00,0.00,22.00,100.00,577.00,46.00,747.00,116.00,7.00,2.00
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Total enrollment,,0.00,2.00,0.00,22.00,193.00,514.00,82.00,813.00,137.00,2.00,10.00
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Total enrollment,,2.00,10.00,2.00,22.00,118.00,550.00,34.00,738.00,104.00,13.00,10.00

