Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Total enrollment,,4.00,7.00,0.00,172.00,37.00,235.00,28.00,483.00,65.00,4.00,118.00
GA,Rome City,GA,Elm Street Elementary,130444001596,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rome City,GA,Elm Street Elementary,130444001596,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rome City,GA,Elm Street Elementary,130444001596,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rome City,GA,Elm Street Elementary,130444001596,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rome City,GA,Elm Street Elementary,130444001596,2015,Total enrollment,,0.00,4.00,0.00,352.00,148.00,64.00,22.00,590.00,59.00,4.00,238.00
GA,Rome City,GA,Rome High School,130444000028,2015,Allegations - basis of race color or national origin,3.00,,,,,,,,,,,
GA,Rome City,GA,Rome High School,130444000028,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rome City,GA,Rome High School,130444000028,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Rome City,GA,Rome High School,130444000028,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,2.00,2.00,0.00,0.00,4.00,2.00,0.00,2.00
GA,Rome City,GA,Rome High School,130444000028,2015,Total enrollment,,2.00,55.00,4.00,496.00,511.00,595.00,52.00,1715.00,158.00,25.00,82.00
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Total enrollment,,4.00,2.00,0.00,40.00,172.00,40.00,13.00,271.00,44.00,0.00,22.00
GA,Rome City,GA,West End Elementary School,130444001605,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rome City,GA,West End Elementary School,130444001605,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rome City,GA,West End Elementary School,130444001605,2015,Total enrollment,,0.00,37.00,2.00,247.00,190.00,280.00,34.00,790.00,65.00,4.00,109.00
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Total enrollment,,0.00,4.00,0.00,109.00,79.00,364.00,28.00,584.00,83.00,19.00,10.00
