Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Heard County,GA,Ephesus Elementary School,130279001199,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Heard County,GA,Ephesus Elementary School,130279001199,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Heard County,GA,Ephesus Elementary School,130279001199,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Ephesus Elementary School,130279001199,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Heard County,GA,Ephesus Elementary School,130279001199,2015,Total enrollment,,0.00,0.00,0.00,4.00,0.00,106.00,4.00,114.00,20.00,0.00,0.00
GA,Carroll County,GA,Roopville Elementary School,130084000328,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Roopville Elementary School,130084000328,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Roopville Elementary School,130084000328,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Roopville Elementary School,130084000328,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Roopville Elementary School,130084000328,2015,Total enrollment,,0.00,4.00,0.00,19.00,13.00,364.00,16.00,416.00,56.00,0.00,7.00

