Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Total enrollment,,0.00,61.00,0.00,163.00,100.00,412.00,37.00,773.00,80.00,7.00,85.00
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Total enrollment,,2.00,52.00,2.00,292.00,94.00,379.00,16.00,837.00,131.00,16.00,157.00
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Total enrollment,,0.00,43.00,2.00,76.00,130.00,682.00,34.00,967.00,107.00,67.00,10.00
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
