Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Total enrollment,,2.00,4.00,0.00,49.00,118.00,469.00,22.00,664.00,74.00,13.00,10.00
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Total enrollment,,4.00,2.00,0.00,13.00,46.00,400.00,19.00,484.00,56.00,7.00,2.00
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Total enrollment,,2.00,7.00,13.00,55.00,61.00,652.00,31.00,821.00,71.00,49.00,7.00

