Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Total enrollment,,2.00,190.00,4.00,121.00,319.00,514.00,73.00,1223.00,143.00,37.00,157.00
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Total enrollment,,0.00,22.00,2.00,187.00,394.00,40.00,22.00,667.00,86.00,2.00,148.00
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Total enrollment,,0.00,7.00,0.00,88.00,382.00,112.00,22.00,611.00,53.00,4.00,76.00
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Total enrollment,,2.00,55.00,4.00,307.00,1753.00,130.00,58.00,2309.00,323.00,4.00,67.00
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Total enrollment,,8.00,49.00,10.00,316.00,1888.00,208.00,88.00,2567.00,296.00,0.00,40.00
GA,Gwinnett County,GA,Norton Elementary School,130255001981,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Norton Elementary School,130255001981,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Norton Elementary School,130255001981,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Norton Elementary School,130255001981,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Norton Elementary School,130255001981,2015,Total enrollment,,2.00,22.00,0.00,154.00,811.00,79.00,49.00,1117.00,95.00,2.00,160.00
GA,Gwinnett County,GA,Anderson-Livsey Elementary School,130255004003,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Anderson-Livsey Elementary School,130255004003,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Anderson-Livsey Elementary School,130255004003,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Anderson-Livsey Elementary School,130255004003,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Anderson-Livsey Elementary School,130255004003,2015,Total enrollment,,2.00,7.00,0.00,154.00,529.00,55.00,46.00,793.00,77.00,4.00,142.00
GA,Gwinnett County,GA,Brookwood High School,130255001906,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood High School,130255001906,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood High School,130255001906,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Brookwood High School,130255001906,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Brookwood High School,130255001906,2015,Total enrollment,,10.00,559.00,7.00,454.00,883.00,1423.00,136.00,3472.00,353.00,16.00,82.00
GA,Gwinnett County,GA,Snellville Middle School,130255001136,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Snellville Middle School,130255001136,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Snellville Middle School,130255001136,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Snellville Middle School,130255001136,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Snellville Middle School,130255001136,2015,Total enrollment,,4.00,16.00,2.00,133.00,664.00,76.00,40.00,935.00,122.00,7.00,22.00
GA,Gwinnett County,GA,Pharr Elementary School,130255002176,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Pharr Elementary School,130255002176,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Pharr Elementary School,130255002176,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Pharr Elementary School,130255002176,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Pharr Elementary School,130255002176,2015,Total enrollment,,2.00,46.00,4.00,97.00,241.00,253.00,37.00,680.00,113.00,4.00,76.00
GA,Gwinnett County,GA,Centerville Elementary School,130255001116,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Centerville Elementary School,130255001116,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Centerville Elementary School,130255001116,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Centerville Elementary School,130255001116,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Centerville Elementary School,130255001116,2015,Total enrollment,,0.00,31.00,2.00,157.00,439.00,64.00,34.00,727.00,95.00,0.00,109.00
GA,Gwinnett County,GA,Partee Elementary School,130255002211,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Partee Elementary School,130255002211,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Partee Elementary School,130255002211,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Partee Elementary School,130255002211,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Partee Elementary School,130255002211,2015,Total enrollment,,2.00,37.00,2.00,106.00,529.00,58.00,34.00,768.00,95.00,4.00,82.00
GA,Gwinnett County,GA,Shiloh Middle School,130255001910,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh Middle School,130255001910,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh Middle School,130255001910,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
