Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Total enrollment,,0.00,7.00,0.00,10.00,85.00,277.00,13.00,392.00,38.00,16.00,2.00
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Total enrollment,,2.00,7.00,0.00,16.00,106.00,256.00,10.00,397.00,44.00,4.00,4.00
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Total enrollment,,2.00,5.00,0.00,7.00,91.00,274.00,13.00,392.00,50.00,0.00,7.00
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Total enrollment,,0.00,4.00,0.00,16.00,118.00,376.00,13.00,527.00,59.00,0.00,2.00

