Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Total enrollment,,7.00,7.00,2.00,73.00,175.00,160.00,43.00,467.00,71.00,4.00,25.00
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Total enrollment,,0.00,4.00,2.00,85.00,514.00,37.00,19.00,661.00,56.00,2.00,40.00
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Total enrollment,,2.00,16.00,2.00,82.00,289.00,283.00,49.00,723.00,110.00,22.00,19.00
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Total enrollment,,0.00,28.00,2.00,76.00,337.00,277.00,46.00,766.00,125.00,37.00,7.00
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Total enrollment,,0.00,16.00,4.00,58.00,655.00,277.00,34.00,1044.00,110.00,0.00,2.00
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Total enrollment,,0.00,85.00,0.00,82.00,550.00,34.00,31.00,782.00,74.00,0.00,43.00
GA,Henry County,GA,Stockbridge Elementary School,130282001207,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Stockbridge Elementary School,130282001207,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Stockbridge Elementary School,130282001207,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Stockbridge Elementary School,130282001207,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Stockbridge Elementary School,130282001207,2015,Total enrollment,,4.00,16.00,0.00,130.00,388.00,70.00,31.00,639.00,41.00,4.00,70.00
GA,Henry County,GA,Stockbridge High School,130282001205,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Stockbridge High School,130282001205,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Stockbridge High School,130282001205,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Stockbridge High School,130282001205,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Stockbridge High School,130282001205,2015,Total enrollment,,2.00,22.00,2.00,169.00,1072.00,184.00,49.00,1500.00,158.00,7.00,19.00
GA,Henry County,GA,Austin Road Middle School,130282001663,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Austin Road Middle School,130282001663,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Austin Road Middle School,130282001663,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Austin Road Middle School,130282001663,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Austin Road Middle School,130282001663,2015,Total enrollment,,2.00,7.00,0.00,55.00,565.00,55.00,19.00,703.00,59.00,7.00,7.00
GA,Henry County,GA,Cotton Indian Elementary School,130282002128,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Cotton Indian Elementary School,130282002128,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Cotton Indian Elementary School,130282002128,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Cotton Indian Elementary School,130282002128,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Cotton Indian Elementary School,130282002128,2015,Total enrollment,,0.00,13.00,0.00,91.00,304.00,241.00,43.00,692.00,83.00,0.00,19.00
GA,Rockdale County,GA,Lorraine Elementary School,130441001830,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Lorraine Elementary School,130441001830,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Rockdale County,GA,Lorraine Elementary School,130441001830,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Lorraine Elementary School,130441001830,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Rockdale County,GA,Lorraine Elementary School,130441001830,2015,Total enrollment,,2.00,10.00,5.00,52.00,421.00,232.00,25.00,747.00,68.00,0.00,7.00
GA,Henry County,GA,Woodland High School,130282003418,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland High School,130282003418,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland High School,130282003418,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Henry County,GA,Woodland High School,130282003418,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
