Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Total enrollment,,0.00,4.00,0.00,43.00,691.00,4.00,10.00,752.00,17.00,25.00,34.00
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Total enrollment,,4.00,19.00,2.00,112.00,226.00,25.00,16.00,404.00,59.00,10.00,124.00
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
