Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Total enrollment,,4.00,190.00,4.00,43.00,22.00,724.00,43.00,1030.00,176.00,13.00,19.00
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Total enrollment,,2.00,373.00,4.00,52.00,121.00,208.00,34.00,794.00,92.00,4.00,157.00
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Total enrollment,,4.00,811.00,4.00,544.00,856.00,865.00,103.00,3187.00,305.00,4.00,118.00
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Total enrollment,,2.00,160.00,0.00,40.00,82.00,571.00,52.00,907.00,113.00,13.00,61.00
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Total enrollment,,4.00,562.00,7.00,244.00,331.00,1594.00,100.00,2842.00,239.00,5.00,58.00
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
