Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Total enrollment,,0.00,0.00,4.00,10.00,16.00,688.00,25.00,743.00,146.00,7.00,4.00
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Total enrollment,,4.00,5.00,2.00,22.00,34.00,985.00,37.00,1089.00,146.00,16.00,4.00
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Total enrollment,,2.00,2.00,0.00,10.00,4.00,313.00,19.00,350.00,53.00,10.00,4.00
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Total enrollment,,2.00,4.00,0.00,7.00,7.00,433.00,22.00,475.00,77.00,4.00,4.00

