Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Total enrollment,,2.00,2.00,2.00,31.00,64.00,346.00,4.00,451.00,56.00,13.00,19.00
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Total enrollment,,10.00,0.00,0.00,298.00,16.00,265.00,13.00,602.00,44.00,0.00,160.00
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Total enrollment,,2.00,2.00,2.00,40.00,286.00,235.00,31.00,598.00,128.00,5.00,22.00
