Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Total enrollment,,2.00,2.00,0.00,10.00,28.00,346.00,25.00,413.00,35.00,0.00,5.00
GA,Carroll County,GA,Temple High School,130084002097,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Temple High School,130084002097,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Temple High School,130084002097,2015,Total enrollment,,4.00,4.00,0.00,40.00,121.00,460.00,34.00,663.00,80.00,0.00,4.00
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Total enrollment,,2.00,5.00,2.00,31.00,76.00,337.00,28.00,481.00,71.00,0.00,4.00
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Total enrollment,,4.00,0.00,0.00,16.00,43.00,394.00,16.00,473.00,47.00,0.00,4.00
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Allegations - basis of race color or national origin,5.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Total enrollment,,0.00,2.00,0.00,43.00,127.00,274.00,40.00,486.00,53.00,8.00,7.00
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Total enrollment,,0.00,10.00,0.00,28.00,139.00,367.00,40.00,584.00,62.00,4.00,10.00

