Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Total enrollment,,4.00,10.00,2.00,127.00,397.00,964.00,88.00,1592.00,176.00,2.00,22.00
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Total enrollment,,0.00,13.00,0.00,55.00,166.00,448.00,40.00,722.00,107.00,4.00,22.00
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Total enrollment,,4.00,4.00,0.00,16.00,37.00,271.00,7.00,339.00,35.00,0.00,13.00
GA,Douglas County,GA,Mirror Lake Elementary School,130186002549,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Douglas County,GA,Mirror Lake Elementary School,130186002549,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Douglas County,GA,Mirror Lake Elementary School,130186002549,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Mirror Lake Elementary School,130186002549,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Douglas County,GA,Mirror Lake Elementary School,130186002549,2015,Total enrollment,,2.00,16.00,2.00,49.00,247.00,217.00,22.00,555.00,113.00,4.00,28.00
GA,Carroll County,GA,Villa Rica Elementary School,130084002240,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Elementary School,130084002240,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Elementary School,130084002240,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Villa Rica Elementary School,130084002240,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Villa Rica Elementary School,130084002240,2015,Total enrollment,,0.00,2.00,2.00,49.00,94.00,277.00,37.00,461.00,41.00,0.00,19.00
GA,Carroll County,GA,Glanton-Hindsman Elementary,130084003303,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Carroll County,GA,Glanton-Hindsman Elementary,130084003303,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Glanton-Hindsman Elementary,130084003303,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Carroll County,GA,Glanton-Hindsman Elementary,130084003303,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
