Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Carroll County,GA,Whitesburg Elementary School,130084000333,2015,Allegations - basis of race color or national origin,2.00,,,,,,,,,,,
GA,Carroll County,GA,Whitesburg Elementary School,130084000333,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Carroll County,GA,Whitesburg Elementary School,130084000333,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Carroll County,GA,Whitesburg Elementary School,130084000333,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Carroll County,GA,Whitesburg Elementary School,130084000333,2015,Total enrollment,,0.00,0.00,0.00,16.00,22.00,268.00,19.00,325.00,35.00,2.00,7.00
GA,Bartow County,GA,White Elementary School,130033000186,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,White Elementary School,130033000186,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,White Elementary School,130033000186,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,White Elementary School,130033000186,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,White Elementary School,130033000186,2015,Total enrollment,,0.00,7.00,0.00,73.00,70.00,397.00,25.00,572.00,83.00,7.00,43.00
GA,Bartow County,GA,Cass High School,130033000181,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Bartow County,GA,Cass High School,130033000181,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Bartow County,GA,Cass High School,130033000181,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Cass High School,130033000181,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Bartow County,GA,Cass High School,130033000181,2015,Total enrollment,,4.00,22.00,2.00,208.00,223.00,1060.00,46.00,1565.00,167.00,10.00,34.00

