Lea State,LEA,School State,School,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Total enrollment,,4.00,19.00,4.00,232.00,148.00,619.00,46.00,1072.00,122.00,49.00,130.00
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Total enrollment,,0.00,2.00,0.00,97.00,37.00,448.00,31.00,615.00,68.00,52.00,46.00
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Total enrollment,,0.00,10.00,0.00,94.00,28.00,622.00,28.00,782.00,89.00,61.00,73.00
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Total enrollment,,0.00,19.00,0.00,52.00,37.00,436.00,16.00,560.00,68.00,28.00,31.00
GA,Cherokee County,GA,Polaris Evening Program,130111000239,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Polaris Evening Program,130111000239,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Polaris Evening Program,130111000239,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Polaris Evening Program,130111000239,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Polaris Evening Program,130111000239,2015,Total enrollment,,0.00,2.00,0.00,31.00,7.00,70.00,2.00,112.00,11.00,4.00,4.00
GA,Cherokee County,GA,Mill Creek Middle School,130111003909,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Mill Creek Middle School,130111003909,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Mill Creek Middle School,130111003909,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Mill Creek Middle School,130111003909,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Mill Creek Middle School,130111003909,2015,Total enrollment,,4.00,40.00,2.00,268.00,121.00,943.00,55.00,1433.00,152.00,67.00,58.00
GA,Cherokee County,GA,Johnston Elementary School,130111001878,2015,Allegations - basis of race color or national origin,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Johnston Elementary School,130111001878,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Johnston Elementary School,130111001878,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Johnston Elementary School,130111001878,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,Cherokee County,GA,Johnston Elementary School,130111001878,2015,Total enrollment,,2.00,7.00,2.00,127.00,19.00,394.00,34.00,585.00,59.00,22.00,85.00
GA,Cherokee County,GA,Woodstock High School,130111001428,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Woodstock High School,130111001428,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Woodstock High School,130111001428,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Cherokee County,GA,Woodstock High School,130111001428,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
GA,Cherokee County,GA,Woodstock High School,130111001428,2015,Total enrollment,,16.00,58.00,2.00,319.00,229.00,1507.00,76.00,2207.00,227.00,103.00,40.00
GA,Cherokee County,GA,Etowah High School,130111000425,2015,Allegations - basis of race color or national origin,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Etowah High School,130111000425,2015,Allegations - basis of religion,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Etowah High School,130111000425,2015,Disciplined for harassment or bullying on basis of race color or national origin,,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00
GA,Cherokee County,GA,Etowah High School,130111000425,2015,Students reported to have been harassed or bullied on basis of race color or national origin,,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
