Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Classroom Teachers,56.66,54.66,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Teachers absent more than 10 days of the school year,15.17,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Teachers employed during current school year,60.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Teachers employed during both the current and previous school year,55.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville High School,130033002352,2015,Total enrollment,,,0.00,2.00,0.00,55.00,43.00,835.00,16.00,951.00,116.00,10.00
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Classroom Teachers,47.30,47.30,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Teachers absent more than 10 days of the school year,16.15,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Elementary School,130033000185,2015,Total enrollment,,,4.00,2.00,0.00,31.00,49.00,574.00,37.00,697.00,80.00,16.00
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Classroom Teachers,44.49,44.49,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bartow County,GA,Adairsville Middle School,130033002351,2015,Total enrollment,,,2.00,4.00,0.00,40.00,40.00,619.00,25.00,730.00,92.00,13.00

