Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Classroom Teachers,40.31,40.31,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Teachers absent more than 10 days of the school year,23.83,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,High-School Counselors,0.40,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Elementary School,130375003432,2015,Total enrollment,,,2.00,4.00,2.00,76.00,163.00,196.00,16.00,459.00,68.00,31.00
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Classroom Teachers,13.99,13.99,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Teachers absent more than 10 days of the school year,5.51,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Teachers employed during current school year,17.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Teachers employed during both the current and previous school year,8.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,High-School Counselors,0.40,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery County Middle School,130375002417,2015,Total enrollment,,,0.00,2.00,0.00,19.00,70.00,100.00,4.00,195.00,20.00,0.00

