Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Classroom Teachers,37.33,36.33,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Teachers absent more than 10 days of the school year,11.33,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County Elementary School,130564001812,2015,Total enrollment,,,0.00,2.00,0.00,31.00,193.00,286.00,0.00,512.00,59.00,31.00
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Classroom Teachers,34.37,34.37,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,High-School Counselors,1.75,,,,,,,,,,,
GA,Wheeler County,GA,Wheeler County High School,130564001811,2015,Total enrollment,,,0.00,2.00,0.00,28.00,181.00,286.00,0.00,497.00,62.00,7.00

