Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Classroom Teachers,0.00,0.00,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Teachers employed during current school year,0.00,,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Ware County,GA,DAFFODIL PREK,130543003888,2015,Total enrollment,,,0.00,2.00,0.00,22.00,115.00,181.00,34.00,354.00,77.00,10.00
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Classroom Teachers,43.56,42.56,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Teachers absent more than 10 days of the school year,10.54,,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Waycross Middle School,130543002204,2015,Total enrollment,,,2.00,10.00,2.00,34.00,247.00,232.00,19.00,546.00,101.00,4.00
GA,Ware County,GA,Center Elementary School,130543001395,2015,Classroom Teachers,33.37,32.37,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,Teachers absent more than 10 days of the school year,6.75,,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Center Elementary School,130543001395,2015,Total enrollment,,,0.00,7.00,0.00,28.00,280.00,196.00,31.00,542.00,68.00,13.00
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Classroom Teachers,47.60,46.60,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Teachers absent more than 10 days of the school year,7.24,,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Wacona Elementary School,130543001774,2015,Total enrollment,,,0.00,4.00,2.00,46.00,289.00,622.00,61.00,1024.00,185.00,19.00
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Classroom Teachers,31.08,31.08,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Teachers absent more than 10 days of the school year,4.42,,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Waresboro Elementary School,130543001775,2015,Total enrollment,,,0.00,0.00,0.00,43.00,145.00,250.00,25.00,463.00,68.00,22.00
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Classroom Teachers,34.13,34.13,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Teachers absent more than 10 days of the school year,12.35,,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Ruskin Elementary School,130543001403,2015,Total enrollment,,,0.00,2.00,0.00,58.00,145.00,184.00,34.00,423.00,68.00,31.00
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Classroom Teachers,2.98,2.98,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Teachers employed during current school year,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Learning Center,130543099999,2015,Total enrollment,,,0.00,0.00,0.00,0.00,19.00,5.00,4.00,28.00,<=2,0.00
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Classroom Teachers,49.66,49.66,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Teachers absent more than 10 days of the school year,10.23,,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Ware County Middle School,130543001779,2015,Total enrollment,,,2.00,4.00,0.00,52.00,181.00,454.00,34.00,727.00,119.00,10.00
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Classroom Teachers,3.00,3.00,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Teachers employed during current school year,3.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Teachers employed during both the current and previous school year,3.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Waycross Regional Youth Detention Center,130002603515,2015,Total enrollment,,,0.00,0.00,0.00,0.00,5.00,5.00,4.00,14.00,4.00,0.00
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Classroom Teachers,27.54,27.54,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Teachers absent more than 10 days of the school year,5.78,,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Memorial Drive Elementary School,130543001776,2015,Total enrollment,,,0.00,7.00,0.00,13.00,142.00,187.00,31.00,380.00,65.00,10.00
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Classroom Teachers,31.62,31.62,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Teachers absent more than 10 days of the school year,9.50,,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Ware County,GA,Williams Heights Elementary School,130543001393,2015,Total enrollment,,,0.00,10.00,0.00,19.00,241.00,199.00,34.00,503.00,68.00,19.00
GA,Ware County,GA,Ware County High School,130543001777,2015,Classroom Teachers,98.97,91.35,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,Teachers absent more than 10 days of the school year,25.64,,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,Teachers employed during current school year,103.00,,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,Teachers employed during both the current and previous school year,83.00,,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Ware County,GA,Ware County High School,130543001777,2015,Total enrollment,,,4.00,13.00,0.00,94.00,556.00,853.00,43.00,1563.00,224.00,19.00

